timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,5,50,adx_up3+atr_expand,229,0.78602620,1.29082913,38,0.81578947,1.35519914,0.66581142,60,0.60000000,1.06070039,0.47366053
d1,3,50,sma_stack_bull+adx25+atr_expand+mtf_adx25,121,0.71074380,1.42567611,11,0.54545455,1.12691269,0.28009154,38,0.63157895,1.43234959,0.47283960
d1,5,50,sma_stack_bull+close_near_high+elliott_impulse_bull+cross_group_bull,162,0.75308642,1.23673472,58,0.55172414,0.91653068,0.42452083,38,0.63157895,1.11652673,0.47283960
d1,5,50,price200_bull+bb_expand+elliott_impulse_bull+cross_group_bull,242,0.72314050,1.18755688,81,0.51851852,0.86136911,0.41135649,31,0.64516129,1.14053805,0.46947954
d1,5,50,bb_expand+elliott_impulse_bull+mtf_trend_bull+cross_group_bull,242,0.71900826,1.18077084,84,0.51190476,0.85038226,0.40685183,31,0.64516129,1.14053805,0.46947954
d1,10,50,price200_bull+bb_expand+elliott_impulse_bull+cross_group_bull,242,0.79752066,1.11415760,81,0.67901235,0.92505273,0.57123624,31,0.64516129,0.94452722,0.46947954
d1,5,50,sma_stack_bull+rsi60+elliott_impulse_bull+cross_group_bull,211,0.73459716,1.20637125,101,0.56435644,0.93751560,0.46705647,53,0.60377358,1.06737146,0.46941479
d1,5,50,sma_stack_bull+elliott_impulse_bull+mtf_trend_bull+cross_group_bull,219,0.73059361,1.19979654,109,0.56880734,0.94490949,0.47505894,53,0.60377358,1.06737146,0.46941479
d1,10,50,trend_bull+elliott_wave5_bull+mtf_trend_bull+cross_group_bull,310,0.80322581,1.12212784,113,0.66371681,0.90421485,0.57250221,53,0.60377358,0.88393490,0.46941479
d1,3,50,sma_stack_bull+adx25+bb_expand+mtf_volatility,253,0.62055336,1.24476373,59,0.44067797,0.91044359,0.32150212,70,0.58571429,1.32833373,0.46881212
d1,10,100,sma_stack_bull+elliott_wave5_bull+mtf_di_strong_bull+cross_group_return_up,198,0.62626263,1.31601930,101,0.43564356,0.89511883,0.34305972,44,0.61363636,1.40569137,0.46623575
d1,5,50,adx_up3+atr_expand+mtf_volatility,218,0.79816514,1.31076396,37,0.83783784,1.39182615,0.68863516,59,0.59322034,1.04871507,0.46593401
d1,3,50,trend_bull+adx25+atr_expand+mtf_volatility,164,0.63414634,1.27202979,25,0.56000000,1.15696370,0.37067332,46,0.60869565,1.38045287,0.46456843
d1,3,50,trend_bull+adx25+atr_expand,176,0.63068182,1.26508033,25,0.56000000,1.15696370,0.37067332,46,0.60869565,1.38045287,0.46456843
d1,3,50,atr_expand+mtf_volatility+adx25,303,0.62376238,1.25120067,47,0.57446809,1.18685486,0.43281919,67,0.58208955,1.32011324,0.46269932
d1,3,50,adx25+atr_expand+mtf_volatility,303,0.62376238,1.25120067,47,0.57446809,1.18685486,0.43281919,67,0.58208955,1.32011324,0.46269932
d1,3,50,adx25+atr_expand,323,0.61609907,1.23582890,47,0.57446809,1.18685486,0.43281919,69,0.57971014,1.31471702,0.46207405
d1,10,50,trend_bull+rci_bull+elliott_wave5_bull+cross_group_bull,300,0.81666667,1.14090508,102,0.67647059,0.92158996,0.58071043,50,0.60000000,0.87841031,0.46181438
d1,3,50,sma_stack_bull+volatility+mtf_volatility,784,0.61479592,1.23321491,111,0.54954955,1.13537300,0.45688031,148,0.54054054,1.22588479,0.46024159
d1,3,50,trend_bull+adx25+atr_expand+mtf_adx25,140,0.65714286,1.31815835,19,0.52631579,1.08737190,0.31707809,39,0.61538462,1.39562268,0.45899061
d1,10,50,sma_stack_bull+volatility+elliott_pullback_bull+cross_group_return_up,133,0.81203008,1.13442764,35,0.77142857,1.05095601,0.60982683,39,0.61538462,0.90093365,0.45899061
h4,12,50,trend_bull+adx25+breakout20_up+mtf_volatility,418,0.57894737,1.30722568,65,0.53846154,1.26678561,0.41853399,58,0.58620690,1.53761168,0.45798408
d1,3,50,adx25+atr_expand+mtf_adx25,260,0.65000000,1.30383054,39,0.58974359,1.21841415,0.43418623,60,0.58333333,1.32293400,0.45728081
d1,10,100,sma_stack_bull+di_spread_up3+elliott_wave5_bull+cross_group_bull,142,0.62676056,1.31706565,76,0.44736842,0.91920995,0.34080658,32,0.62500000,1.43172269,0.45254407
