timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bear,3,volatility+atr_expand,2864,0.20076816,1.25061437,605,0.24462810,1.48814160,0.21205617,491,0.16293279,1.35207157,0.13290576,3960,0.20277778,1.29780074,0.19054581
h4,bear,3,macd_bear+atr_expand,2630,0.20076046,1.25056641,500,0.20800000,1.26532256,0.17471631,431,0.18097448,1.50178762,0.14749726,3561,0.19938220,1.27606863,0.18658667
h4,bear,3,body_bear+adx_up3,2018,0.20069376,1.25015092,426,0.13145540,0.79968020,0.10263644,402,0.17910448,1.48626972,0.14471344,2846,0.18728039,1.19861573,0.17337206
h4,bear,3,price20_bear+atr_expand,2595,0.20038536,1.24822986,493,0.21906694,1.33264585,0.18480498,429,0.18414918,1.52813241,0.15032969,3517,0.20102360,1.28657380,0.18810800
h4,bear,3,ema20_falling+atr_expand,2595,0.20038536,1.24822986,493,0.21906694,1.33264585,0.18480498,429,0.18414918,1.52813241,0.15032969,3517,0.20102360,1.28657380,0.18810800
h4,bear,3,volatility+bb_lower,6181,0.19996764,1.24562786,1287,0.23154623,1.40856092,0.20932006,956,0.19456067,1.61453044,0.17070993,8424,0.20417854,1.30676576,0.19570629
h4,bear,3,price20_bear+price200_bear+volatility,8818,0.19947834,1.24257992,1737,0.24812896,1.50943831,0.22838729,1482,0.18690958,1.55103912,0.16788054,12037,0.20495140,1.31171217,0.19783481
h4,bear,3,bb_bear+atr_expand,2608,0.19861963,1.23723090,491,0.21588595,1.31329500,0.18177375,429,0.18648019,1.54747585,0.15246425,3528,0.19954649,1.27712010,0.18668855
h4,bear,3,volatility+ema20_slope_down3,12964,0.19808701,1.23391312,2778,0.22102232,1.34454099,0.20598353,2131,0.17550446,1.45639553,0.15994151,17873,0.19895932,1.27336221,0.19317155
h4,bear,3,volatility+breakout20_down,1855,0.19784367,1.23239729,346,0.24855491,1.51202952,0.20594497,272,0.25367647,2.10509342,0.20564458,2473,0.21107966,1.35093373,0.19545067
h4,bear,3,di_bear+atr_expand,2674,0.19783096,1.23231817,506,0.24901186,1.51480924,0.21331857,458,0.18558952,1.54008480,0.15265154,3638,0.20340847,1.30183722,0.19064413
h4,bear,3,price200_cross_down+bb_expand,435,0.19770115,1.23150954,112,0.19642857,1.19493030,0.13344971,94,0.22340426,1.85388430,0.15101916,641,0.20124805,1.28801031,0.17203143
h4,bear,3,momentum_bear+atr_expand,1730,0.19768786,1.23142676,334,0.23353293,1.42064659,0.19134708,272,0.17647059,1.46441281,0.13576338,2336,0.20034247,1.28221447,0.18460912
h4,bear,3,adx_rising+atr_expand,3127,0.19763351,1.23108823,620,0.21129032,1.28533852,0.18098496,565,0.16283186,1.35123400,0.13468258,4312,0.19503711,1.24825956,0.18348422
h4,bear,3,body_bear+adx_cross25_up,253,0.19762846,1.23105673,51,0.17647059,1.07352027,0.09572403,52,0.13461538,1.11708413,0.06676882,356,0.18539326,1.18653785,0.14845902
h4,bear,3,price20_bear+volatility,12908,0.19716455,1.22816697,2748,0.22052402,1.34150968,0.20541873,2099,0.17293949,1.43511060,0.15736149,17755,0.19791608,1.26668533,0.19212115
h4,bear,3,ema20_falling+volatility,12908,0.19716455,1.22816697,2748,0.22052402,1.34150968,0.20541873,2099,0.17293949,1.43511060,0.15736149,17755,0.19791608,1.26668533,0.19212115
h4,bear,3,price200_bear+volatility+bb_bear,8515,0.19694656,1.22680912,1676,0.24940334,1.51719074,0.22927809,1407,0.18976546,1.57473815,0.17013192,11598,0.20365580,1.30342020,0.19642530
h4,bear,3,trend_bear+volatility+body_bear,1526,0.19659240,1.22460296,283,0.22261484,1.35422875,0.17804475,179,0.16201117,1.34442368,0.11523472,1988,0.19718310,1.26199416,0.18028450
h4,bear,3,di_bear+volatility,13851,0.19637571,1.22325320,2927,0.22582849,1.37377831,0.21104589,2415,0.16853002,1.39851929,0.15412930,19193,0.19736362,1.26314953,0.19179363
h4,bear,3,volatility+bb_bear,12893,0.19529978,1.21655102,2770,0.21732852,1.32207057,0.20236687,2066,0.17328170,1.43795037,0.15757127,17729,0.19617576,1.25554706,0.19039651
h4,bear,3,adx25+di_cross_down,676,0.19526627,1.21634233,155,0.23225806,1.41289120,0.17274592,96,0.08333333,0.69152827,0.04283062,927,0.18985976,1.21512398,0.16591262
h4,bear,3,adx25+rsi_cross45_down,1076,0.19516729,1.21572573,258,0.16666667,1.01388026,0.12615274,189,0.18518519,1.53672949,0.13627366,1523,0.18910046,1.21026436,0.17022531
h4,bear,3,volatility+adx_up3,5205,0.19442843,1.21112331,1109,0.23895401,1.45362453,0.21478395,1092,0.18589744,1.54263999,0.16393922,7406,0.19983797,1.27898563,0.19088743
h4,bear,3,macd_bear+di_bear+volatility+bb_bear,9496,0.19429233,1.21027552,2103,0.22016167,1.33930545,0.20297140,1616,0.17079208,1.41729062,0.15322976,13215,0.19553538,1.25144855,0.18886217
