timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,oos,150,200,structure_lh,508,0.52362205,0.51495554,1.01682963,0.48017656,-23.00944882,68.81299213,-75.66653543,1.86614173
d1,discovery,150,200,adx_down3,684,0.51754386,0.54684950,0.94641004,0.48010299,-39.15000000,89.51900585,-98.69649123,1.72953216
d1,validation,150,200,adx_down3,124,0.59677419,0.57772848,1.03296654,0.50878279,-46.27096774,73.99354839,-107.51370968,1.80645161
d1,oos,150,200,adx_down3,83,0.46987952,0.51495554,0.91246619,0.36623348,-19.03734940,77.39156627,-84.79277108,1.81927711
d1,discovery,150,200,nr4,3045,0.51494253,0.54684950,0.94165310,0.49718357,-20.52545156,74.33536946,-69.32328407,2.24367816
d1,validation,150,200,nr4,719,0.54381085,0.57772848,0.94129139,0.50726755,-28.43630042,71.14687065,-77.48636996,2.20445063
d1,oos,150,200,nr4,502,0.46613546,0.51495554,0.90519554,0.42291958,-11.38984064,65.25876494,-67.61513944,2.07171315
d1,discovery,150,200,range_compression+adx_down3,589,0.49235993,0.54684950,0.90035729,0.45216569,-27.96112054,92.81426146,-98.04159593,1.73853990
d1,validation,150,200,range_compression+adx_down3,102,0.55882353,0.57772848,0.96727710,0.46207045,-39.28333333,76.93823529,-97.37745098,1.95098039
d1,oos,150,200,range_compression+adx_down3,75,0.41333333,0.51495554,0.80265829,0.30877729,0.64000000,73.97866667,-89.26133333,1.66666667
d1,discovery,150,200,range_compression,3127,0.45922610,0.54684950,0.83976687,0.44182029,-16.65465302,90.06351135,-86.81598977,1.38535337
d1,validation,150,200,range_compression,745,0.51543624,0.57772848,0.89217731,0.47956249,-22.88590604,77.58832215,-89.65959732,1.39328859
d1,oos,150,200,range_compression,482,0.43775934,0.51495554,0.85009152,0.39413439,-5.05726141,67.21016598,-81.02095436,1.32780083
d1,discovery,150,200,volatility,1515,0.44554455,0.54684950,0.81474803,0.42068589,-22.53478548,99.45570957,-90.06561056,1.19603960
d1,validation,150,200,volatility,302,0.46357616,0.57772848,0.80241181,0.40814430,-34.24735099,97.53973510,-95.01258278,1.21523179
d1,oos,150,200,volatility,260,0.34230769,0.51495554,0.66473252,0.28730489,-13.62192308,92.65038462,-90.76038462,1.13461538
d1,discovery,150,200,price200_bull,2714,0.43257185,0.54684950,0.79102541,0.41404087,-12.17822402,93.57568165,-88.14097273,1.09395726
