timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,discovery,100,150,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,51,0.41176471,3623.64245524,0.00011363,0.28754395
h4,discovery,150,200,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,32,0.34375000,3751.26678899,0.00009164,0.20410438
h4,discovery,200,300,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,19,0.05263158,3934.45852895,0.00001338,0.00935199
h4,validation,50,100,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,18,0.55555556,7347.28747795,0.00007561,0.33716416
h4,validation,100,150,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,10,0.10000000,7312.54635108,0.00001368,0.01787621
h4,validation,150,200,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,4,0.50000000,7287.60933333,0.00006861,0.15003899
h4,validation,200,300,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,3,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,11,0.18181818,8766.86496956,0.00002074,0.05136769
h4,oos,100,150,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,85,0.48235294,3459.27368120,0.00013944,0.37920744
h4,discovery,100,150,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,48,0.39583333,3623.64245524,0.00010924,0.27020828
h4,discovery,150,200,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,29,0.31034483,3751.26678899,0.00008273,0.17275617
h4,discovery,200,300,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,18,0.05555556,3934.45852895,0.00001412,0.00987519
h4,validation,50,100,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,14,0.35714286,7347.28747795,0.00004861,0.16344732
