horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
6,pin+early_drop_atr3<=0.5+adx25,137,0.53284672,1.84469620,36,0.55555556,1.99588100,30,0.63333333,2.68351504,4,4,0.66125541,0.45454545
6,pin+near_recent_high_atr10<=1.5+adx25,200,0.52000000,1.80022133,48,0.52083333,1.87113844,37,0.62162162,2.63389101,3,3,0.69047619,0.57142857
6,pin+early_drop_atr3<=1.0+adx25,247,0.50202429,1.73799007,60,0.58333333,2.09567505,46,0.60869565,2.57912201,4,4,0.61255411,0.50000000
6,pin+early_drop_atr3<=0.5+price200_bear,108,0.47222222,1.63481638,30,0.60000000,2.15555148,29,0.58620690,2.48383425,3,3,0.56666667,0.40000000
6,pin+early_drop_atr10<=1.0+bb_bear,24,0.37500000,1.29823654,16,0.56250000,2.02082951,7,0.57142857,2.42121658,0,0,,
6,pin+near_recent_high_atr10<=1.0+bb_bear,24,0.37500000,1.29823654,16,0.56250000,2.02082951,7,0.57142857,2.42121658,0,0,,
6,pin+early_drop_atr3<=0.5+bb_bear,88,0.52272727,1.80966305,29,0.68965517,2.47764538,16,0.56250000,2.38338507,1,1,0.50000000,0.50000000
6,pin+early_drop_atr3<=0.5+adx_rising,160,0.49375000,1.70934477,49,0.42857143,1.53967963,20,0.55000000,2.33042096,2,1,0.62222222,0.44444444
6,pin+early_drop_atr10<=1.0,320,0.47500000,1.64443295,126,0.42857143,1.53967963,66,0.54545455,2.31116128,4,3,0.52142857,0.30000000
6,pin+near_recent_high_atr10<=1.0,320,0.47500000,1.64443295,126,0.42857143,1.53967963,66,0.54545455,2.31116128,4,3,0.52142857,0.30000000
6,pin+elliott_pullback_bear,177,0.41807910,1.44737482,41,0.60975610,2.19060109,24,0.54166667,2.29511155,3,2,0.51587302,0.33333333
6,pin+near_recent_high_atr10<=1.5+price200_bear,130,0.46923077,1.62446008,46,0.56521739,2.03059197,33,0.51515152,2.18276343,3,2,0.50793651,0.16666667
6,pin+early_drop_atr3<=1.0+price200_bear,196,0.44387755,1.53668815,58,0.62068966,2.22988084,43,0.51162791,2.16783345,4,4,0.53660714,0.37500000
6,pin+adx25,417,0.50359712,1.74343516,92,0.55434783,1.99154213,72,0.50000000,2.11856451,4,4,0.51447368,0.40000000
6,pin+early_drop_atr3<=1.0+adx_rising,261,0.47892720,1.65802878,84,0.45238095,1.62521738,40,0.50000000,2.11856451,4,4,0.49583333,0.40000000
6,pin+early_drop_atr10<=1.0+adx_rising,200,0.50500000,1.74829187,73,0.43835616,1.57483213,32,0.50000000,2.11856451,3,2,0.57606838,0.46153846
6,pin+near_recent_high_atr10<=1.0+adx_rising,200,0.50500000,1.74829187,73,0.43835616,1.57483213,32,0.50000000,2.11856451,3,2,0.57606838,0.46153846
6,pin+early_drop_atr3<=0.5+di_strong_bear,48,0.41666667,1.44248504,20,0.60000000,2.15555148,20,0.50000000,2.11856451,2,1,0.41666667,0.33333333
6,pin+early_drop_atr3<=0.5+macd_bear,107,0.44859813,1.55303062,29,0.58620690,2.10599857,12,0.50000000,2.11856451,1,1,0.60000000,0.60000000
