timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,300,trend+price200+macd+adx,606,145,67,2.82974849,0.00000000,0.00000000,8,0,0.00000000,0.00000000,0.00000000,67,0.00000000,0.00000000
h4,bull,300,trend+macd+adx,607,145,67,2.82508663,0.00000000,0.00000000,8,0,0.00000000,0.00000000,0.00000000,67,0.00000000,0.00000000
h4,bull,300,trend+price200+adx+volatility,486,111,0,2.46991628,0.00000000,,5,0,0.00000000,,,45,0.00000000,0.00000000
h4,bull,300,trend+price200+adx,998,233,104,2.40556976,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,104,0.00000000,0.00000000
h4,bull,300,trend+price20+adx+bb,713,159,75,2.40508778,0.00000000,0.00000000,9,0,0.00000000,0.00000000,0.00000000,75,0.00000000,0.00000000
h4,bull,300,trend+adx+di+bb,715,157,73,2.39836026,0.00000000,0.00000000,9,0,0.00000000,0.00000000,0.00000000,73,0.00000000,0.00000000
h4,bull,300,trend+adx+volatility,502,113,0,2.39119385,0.00000000,,5,0,0.00000000,,,46,0.00000000,0.00000000
h4,bull,300,momentum+macd+adx+volatility,360,71,0,2.38170498,0.00000000,,3,0,0.00000000,,,46,0.00000000,0.00000000
h4,bull,300,trend+adx+bb,726,163,77,2.36202147,0.00000000,0.00000000,9,0,0.00000000,0.00000000,0.00000000,77,0.00000000,0.00000000
h4,bull,300,trend+price200+adx+bb,726,163,77,2.36202147,0.00000000,0.00000000,9,0,0.00000000,0.00000000,0.00000000,77,0.00000000,0.00000000
h4,bull,300,trend+price20+adx+di,727,156,73,2.35877247,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,73,0.00000000,0.00000000
h4,bull,300,trend+adx,1019,236,106,2.35599472,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,106,0.00000000,0.00000000
h4,bull,300,price200+macd+adx+di,809,189,92,2.33165679,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,92,0.00000000,0.00000000
h4,bull,300,trend+price20+adx,739,162,76,2.32047035,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,76,0.00000000,0.00000000
h4,bull,300,trend+price20+price200+adx,739,162,76,2.32047035,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,76,0.00000000,0.00000000
h4,bull,300,price20+price200+macd+adx,818,195,102,2.30600287,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,102,0.00000000,0.00000000
h4,bull,300,price200+macd+adx+bb,828,198,106,2.27815259,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,106,0.00000000,0.00000000
