timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bull,1,price200_cross_up+body_expand,770,195,122,1.45893369,0.98421317,0.25770860,0.00144839,12,1,0.01388889,0.00000000
h4,bull,1,rsi_up1+breakout20_up,3111,799,594,1.45729234,1.29709195,1.42911134,0.03142459,12,6,0.04659897,0.00000000
h4,bull,1,volatility+macd_cross_up,1035,225,154,1.45364770,1.27947712,0.40831753,0.00356876,12,2,0.01076389,0.00000000
h4,bull,1,adx25+price200_cross_up,504,122,112,1.43288131,1.41581485,0.84215490,0.00915082,10,2,0.01880342,0.00000000
h4,bull,1,rsi_up1+price200_cross_up,1263,347,209,1.42947779,0.99555857,0.90259663,0.01322222,12,4,0.03168981,0.00000000
h4,bull,1,body_bull+breakout20_up,3053,715,578,1.42584127,1.28842452,1.30548579,0.02805944,12,5,0.04756944,0.00000000
h4,bull,1,price200_cross_up+bb_expand,394,120,84,1.42560780,1.11954248,1.49716426,0.01867175,9,2,0.04100529,0.00000000
h4,bull,1,adx_rising+rsi_cross55_up,1281,304,184,1.42505135,1.51517028,1.70872008,0.02978526,12,6,0.04776578,0.00000000
h4,bull,1,body_bull+price200_cross_up,944,254,139,1.42377401,0.98227574,0.90476113,0.01124651,12,3,0.03067130,0.00000000
h4,bull,1,volatility+adx_up3,5205,1109,1092,1.42214502,1.76519387,2.10178829,0.05350279,12,6,0.06145904,0.00000000
h4,bull,1,trend_bull+breakout20_up,2893,752,552,1.42148958,1.25055277,0.62653070,0.01116296,12,5,0.02608065,0.00000000
h4,bull,1,rsi_up1+atr_expand,1669,315,235,1.41828635,1.64504202,1.73925891,0.03261041,12,7,0.05978888,0.00000000
