timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,volatility,sma200_bull,oos,2011,0.02685231
h4,bull,1,volatility,sma_stack_bull,disc,7885,0.06265060
h4,bull,1,volatility,sma_stack_bull,val,1902,0.05625657
h4,bull,1,volatility,sma_stack_bull,oos,1350,0.02814815
h4,bull,1,volatility,ichimoku_bull,disc,10388,0.05429342
h4,bull,1,volatility,ichimoku_bull,val,2389,0.05860193
h4,bull,1,volatility,ichimoku_bull,oos,1650,0.02545455
h4,bull,1,volatility,ichimoku_tk_bull,disc,10970,0.05542388
h4,bull,1,volatility,ichimoku_tk_bull,val,2415,0.06583851
h4,bull,1,volatility,ichimoku_tk_bull,oos,1609,0.03045370
h4,bull,1,volatility,ichimoku_cloud_bull,disc,12314,0.06480429
h4,bull,1,volatility,ichimoku_cloud_bull,val,2992,0.06550802
h4,bull,1,volatility,ichimoku_cloud_bull,oos,2299,0.04567203
h4,bull,1,volatility,span_model_bull,disc,8000,0.05312500
h4,bull,1,volatility,span_model_bull,val,1853,0.06206152
h4,bull,1,volatility,span_model_bull,oos,1259,0.02621128
h4,bull,1,volatility,bb_bull,disc,11879,0.05867497
h4,bull,1,volatility,bb_bull,val,2606,0.06293170
h4,bull,1,volatility,bb_bull,oos,1873,0.03043246
h4,bull,1,volatility,bb_upper,disc,5526,0.05700326
h4,bull,1,volatility,bb_upper,val,1265,0.06956522
h4,bull,1,volatility,bb_upper,oos,855,0.03391813
h4,bull,1,volatility,superbb_bull,disc,165,0.08484848
h4,bull,1,volatility,superbb_bull,val,42,0.19047619
h4,bull,1,volatility,superbb_bull,oos,26,0.03846154
h4,bull,1,volatility,superbb_squeeze,disc,1824,0.04221491
h4,bull,1,volatility,superbb_squeeze,val,406,0.05665025
h4,bull,1,volatility,superbb_squeeze,oos,166,0.03614458
h4,bull,1,volatility,superbb_expand,disc,7176,0.07274247
h4,bull,1,volatility,superbb_expand,val,1540,0.08831169
h4,bull,1,volatility,superbb_expand,oos,1214,0.05189456
h4,bull,1,volatility,stoch_bull,disc,12601,0.06586779
h4,bull,1,volatility,stoch_bull,val,2709,0.07788852
h4,bull,1,volatility,stoch_bull,oos,2052,0.04483431
h4,bull,1,volatility,stoch_cross_up,disc,4942,0.06677459
h4,bull,1,volatility,stoch_cross_up,val,1102,0.07168784
h4,bull,1,volatility,stoch_cross_up,oos,785,0.05477707
h4,bull,1,volatility,stoch_recover_up,disc,1752,0.06963470
h4,bull,1,volatility,stoch_recover_up,val,414,0.06763285
h4,bull,1,volatility,stoch_recover_up,oos,281,0.04982206
h4,bull,1,volatility,rci_bull,disc,12055,0.06180008
h4,bull,1,volatility,rci_bull,val,2573,0.06801399
h4,bull,1,volatility,rci_bull,oos,1874,0.03735326
h4,bull,1,volatility,rci_strong_bull,disc,3515,0.05803698
h4,bull,1,volatility,rci_strong_bull,val,803,0.05728518
h4,bull,1,volatility,rci_strong_bull,oos,591,0.03045685
h4,bull,1,volatility,rci_cross_up,disc,901,0.07103219
h4,bull,1,volatility,rci_cross_up,val,184,0.05434783
h4,bull,1,volatility,rci_cross_up,oos,135,0.01481481
h4,bull,1,volatility,dmi_adx_bull,disc,5693,0.06112770
h4,bull,1,volatility,dmi_adx_bull,val,1223,0.05233034
h4,bull,1,volatility,dmi_adx_bull,oos,744,0.02822581
h4,bull,1,volatility,dmi_adx_strong_bull,disc,5037,0.05300774
h4,bull,1,volatility,dmi_adx_strong_bull,val,1167,0.07112254
h4,bull,1,volatility,dmi_adx_strong_bull,oos,759,0.03162055
h4,bull,1,volatility,fib_above382,disc,9278,0.05518431
h4,bull,1,volatility,fib_above382,val,2169,0.05532503
h4,bull,1,volatility,fib_above382,oos,1415,0.02332155
