timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,200,300,di_spread_down3+strong_close_bear+volatility,32,14,1.00000000,2,1.00000000,1.00000000
d1,50,100,structure_lh+strong_close_bear+atr_expand,111,13,0.69230769,1,1.00000000,1.00000000
d1,50,100,close_near_low+mtf_adx_rising+atr_expand,83,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+strong_close_bear+atr_expand,75,6,1.00000000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+strong_close_bear+atr_expand,71,9,0.88888889,1,1.00000000,1.00000000
d1,50,100,strong_close_bear+mtf_adx_rising+atr_expand,71,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+close_near_low+atr_expand,54,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+strong_close_bear+bb_expand,50,9,1.00000000,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+strong_close_bear+atr_expand,40,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,strong_close_bear+atr_expand,136,13,0.69230769,1,1.00000000,1.00000000
d1,50,100,macd_accel_down+strong_close_bear+atr_expand,124,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,price200_bull+close_near_low+atr_expand,65,9,0.66666667,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+close_near_low+bb_expand,55,12,1.00000000,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+strong_close_bear+mtf_trend_bull,97,10,0.90000000,1,1.00000000,1.00000000
d1,50,100,price200_bull+strong_close_bear+atr_expand,48,9,0.66666667,1,1.00000000,1.00000000
