timeframe,period,from_target,to_target,conditions,samples,exit_precision,unconditional_exit_precision,lift,wilson95_lower,target_capture_pips_mean,future_mfe_pips_mean,future_mae_pips_mean,bars_after_target_mean
h4,validation,50,100,rsi_down3+pullback_bull+atr_expand,57,0.96491228,0.74500976,1.29516731,0.88079219,-99.32105263,58.90877193,-47.98070175,1.28070175
h4,oos,50,100,rsi_down3+pullback_bull+atr_expand,77,0.97402597,0.79026134,1.23253654,0.91015417,-73.38311688,32.26883117,-93.59220779,1.22077922
h4,discovery,50,100,rsi_down3+range_compression+atr_expand,501,0.97005988,0.75515784,1.28457897,0.95119276,-79.02594810,38.54131737,-57.94071856,1.11776447
h4,validation,50,100,rsi_down3+range_compression+atr_expand,49,0.95918367,0.74500976,1.28747800,0.86286968,-82.45918367,49.36326531,-54.27346939,1.32653061
h4,oos,50,100,rsi_down3+range_compression+atr_expand,55,1.00000000,0.79026134,1.26540418,0.93471510,-132.50363636,53.67818182,-68.23636364,1.27272727
h4,discovery,50,100,di_spread_down3+price20_cross_down+range_compression,327,0.96941896,0.75515784,1.28373024,0.94463115,-100.67033639,50.53211009,-50.67920489,1.16819572
h4,validation,50,100,di_spread_down3+price20_cross_down+range_compression,65,0.86153846,0.74500976,1.15641232,0.75731903,-94.12153846,68.03076923,-28.57230769,1.29230769
h4,oos,50,100,di_spread_down3+price20_cross_down+range_compression,52,1.00000000,0.79026134,1.26540418,0.93120776,-126.24615385,52.79230769,-43.08846154,1.53846154
h4,discovery,50,100,di_spread_down3+price20_cross_down+volatility,228,0.96929825,0.75515784,1.28357039,0.93799454,-108.35000000,51.13552632,-52.35921053,1.16228070
h4,validation,50,100,di_spread_down3+price20_cross_down+volatility,43,0.90697674,0.74500976,1.21740251,0.78397296,-117.06511628,60.99069767,-62.70930233,1.34883721
h4,oos,50,100,di_spread_down3+price20_cross_down+volatility,35,1.00000000,0.79026134,1.26540418,0.90109901,-181.36285714,67.83428571,-136.59428571,1.17142857
h4,discovery,50,100,di_spread_down3+close_near_low+atr_expand,290,0.96896552,0.75515784,1.28312978,0.94208088,-106.11965517,48.44689655,-58.70137931,1.16551724
h4,validation,50,100,di_spread_down3+close_near_low+atr_expand,40,0.97500000,0.74500976,1.30870770,0.87118631,-156.57750000,73.58750000,-82.42250000,1.35000000
h4,oos,50,100,di_spread_down3+close_near_low+atr_expand,39,0.97435897,0.79026134,1.23295792,0.86819010,-166.66666667,60.32564103,-49.87692308,1.38461538
h4,discovery,50,100,rsi_down3+mtf_macd_bull+atr_expand,606,0.96864686,0.75515784,1.28270781,0.95155199,-76.31996700,42.01683168,-41.81320132,1.11386139
h4,validation,50,100,rsi_down3+mtf_macd_bull+atr_expand,58,0.96551724,0.74500976,1.29597933,0.88270855,-89.51034483,41.85000000,-82.45517241,1.24137931
